=== 1. COUNT DE TABLAS ===
Pasajeros: 98617
Fechas de Salida: 220
Aeropuertos Salida: 9062
Aeropuertos Llegada: 9024
Pilotos: 98605
Estados: 3
Vuelos: 59656

=== 2. PASAJEROS POR GÉNERO ===
Male: 50.29%
Female: 49.71%

=== 3. NACIONALIDADES CON SU MES/AÑO DE MAYOR FECHA DE SALIDA ===
Nacionalidad: Afghanistan, Año: 2022, Mes: 1, Vuelos: 18
Nacionalidad: Afghanistan, Año: 2022, Mes: 2, Vuelos: 19
Nacionalidad: Afghanistan, Año: 2022, Mes: 3, Vuelos: 25
Nacionalidad: Afghanistan, Año: 2022, Mes: 4, Vuelos: 21
Nacionalidad: Afghanistan, Año: 2022, Mes: 5, Vuelos: 21
Nacionalidad: Afghanistan, Año: 2022, Mes: 6, Vuelos: 20
Nacionalidad: Afghanistan, Año: 2022, Mes: 7, Vuelos: 21
Nacionalidad: Afghanistan, Año: 2022, Mes: 8, Vuelos: 23
Nacionalidad: Afghanistan, Año: 2022, Mes: 9, Vuelos: 19
Nacionalidad: Afghanistan, Año: 2022, Mes: 10, Vuelos: 19
Nacionalidad: Afghanistan, Año: 2022, Mes: 11, Vuelos: 21
Nacionalidad: Afghanistan, Año: 2022, Mes: 12, Vuelos: 23
Nacionalidad: Aland Islands, Año: 2022, Mes: 1, Vuelos: 3
Nacionalidad: Aland Islands, Año: 2022, Mes: 2, Vuelos: 1
Nacionalidad: Aland Islands, Año: 2022, Mes: 3, Vuelos: 2
Nacionalidad: Aland Islands, Año: 2022, Mes: 4, Vuelos: 3
Nacionalidad: Aland Islands, Año: 2022, Mes: 5, Vuelos: 1
Nacionalidad: Aland Islands, Año: 2022, Mes: 6, Vuelos: 1
Nacionalidad: Aland Islands, Año: 2022, Mes: 7, Vuelos: 1
Nacionalidad: Aland Islands, Año: 2022, Mes: 9, Vuelos: 1
Nacionalidad: Aland Islands, Año: 2022, Mes: 10, Vuelos: 1
Nacionalidad: Albania, Año: 2022, Mes: 1, Vuelos: 24
Nacionalidad: Albania, Año: 2022, Mes: 2, Vuelos: 17
Nacionalidad: Albania, Año: 2022, Mes: 3, Vuelos: 25
Nacionalidad: Albania, Año: 2022, Mes: 4, Vuelos: 21
Nacionalidad: Albania, Año: 2022, Mes: 5, Vuelos: 22
Nacionalidad: Albania, Año: 2022, Mes: 6, Vuelos: 29
Nacionalidad: Albania, Año: 2022, Mes: 7, Vuelos: 21
Nacionalidad: Albania, Año: 2022, Mes: 8, Vuelos: 23
Nacionalidad: Albania, Año: 2022, Mes: 9, Vuelos: 23
Nacionalidad: Albania, Año: 2022, Mes: 10, Vuelos: 22
Nacionalidad: Albania, Año: 2022, Mes: 11, Vuelos: 22
Nacionalidad: Albania, Año: 2022, Mes: 12, Vuelos: 27
Nacionalidad: American Samoa, Año: 2022, Mes: 1, Vuelos: 1
Nacionalidad: American Samoa, Año: 2022, Mes: 2, Vuelos: 1
Nacionalidad: American Samoa, Año: 2022, Mes: 3, Vuelos: 1
Nacionalidad: American Samoa, Año: 2022, Mes: 4, Vuelos: 1
Nacionalidad: American Samoa, Año: 2022, Mes: 5, Vuelos: 2
Nacionalidad: American Samoa, Año: 2022, Mes: 6, Vuelos: 4
Nacionalidad: American Samoa, Año: 2022, Mes: 8, Vuelos: 1
Nacionalidad: American Samoa, Año: 2022, Mes: 9, Vuelos: 1
Nacionalidad: American Samoa, Año: 2022, Mes: 10, Vuelos: 3
Nacionalidad: American Samoa, Año: 2022, Mes: 11, Vuelos: 1
Nacionalidad: Andorra, Año: 2022, Mes: 1, Vuelos: 1
Nacionalidad: Andorra, Año: 2022, Mes: 2, Vuelos: 1
Nacionalidad: Andorra, Año: 2022, Mes: 5, Vuelos: 1
Nacionalidad: Andorra, Año: 2022, Mes: 8, Vuelos: 1
Nacionalidad: Andorra, Año: 2022, Mes: 9, Vuelos: 1
Nacionalidad: Andorra, Año: 2022, Mes: 11, Vuelos: 3
Nacionalidad: Angola, Año: 2022, Mes: 1, Vuelos: 7
Nacionalidad: Angola, Año: 2022, Mes: 2, Vuelos: 3
Nacionalidad: Angola, Año: 2022, Mes: 3, Vuelos: 2
Nacionalidad: Angola, Año: 2022, Mes: 4, Vuelos: 5
Nacionalidad: Angola, Año: 2022, Mes: 5, Vuelos: 4
Nacionalidad: Angola, Año: 2022, Mes: 6, Vuelos: 7
Nacionalidad: Angola, Año: 2022, Mes: 7, Vuelos: 4
Nacionalidad: Angola, Año: 2022, Mes: 8, Vuelos: 7
Nacionalidad: Angola, Año: 2022, Mes: 9, Vuelos: 2
Nacionalidad: Angola, Año: 2022, Mes: 10, Vuelos: 5
Nacionalidad: Angola, Año: 2022, Mes: 11, Vuelos: 1
Nacionalidad: Angola, Año: 2022, Mes: 12, Vuelos: 6
Nacionalidad: Anguilla, Año: 2022, Mes: 6, Vuelos: 1
Nacionalidad: Anguilla, Año: 2022, Mes: 7, Vuelos: 1
Nacionalidad: Anguilla, Año: 2022, Mes: 10, Vuelos: 1
Nacionalidad: Antigua and Barbuda, Año: 2022, Mes: 3, Vuelos: 1
Nacionalidad: Antigua and Barbuda, Año: 2022, Mes: 5, Vuelos: 2
Nacionalidad: Antigua and Barbuda, Año: 2022, Mes: 6, Vuelos: 1
Nacionalidad: Antigua and Barbuda, Año: 2022, Mes: 8, Vuelos: 1
Nacionalidad: Antigua and Barbuda, Año: 2022, Mes: 9, Vuelos: 2
Nacionalidad: Antigua and Barbuda, Año: 2022, Mes: 11, Vuelos: 2
Nacionalidad: Antigua and Barbuda, Año: 2022, Mes: 12, Vuelos: 1
Nacionalidad: Argentina, Año: 2022, Mes: 1, Vuelos: 60
Nacionalidad: Argentina, Año: 2022, Mes: 2, Vuelos: 48
Nacionalidad: Argentina, Año: 2022, Mes: 3, Vuelos: 73
Nacionalidad: Argentina, Año: 2022, Mes: 4, Vuelos: 74
Nacionalidad: Argentina, Año: 2022, Mes: 5, Vuelos: 68
Nacionalidad: Argentina, Año: 2022, Mes: 6, Vuelos: 67
Nacionalidad: Argentina, Año: 2022, Mes: 7, Vuelos: 72
Nacionalidad: Argentina, Año: 2022, Mes: 8, Vuelos: 64
Nacionalidad: Argentina, Año: 2022, Mes: 9, Vuelos: 64
Nacionalidad: Argentina, Año: 2022, Mes: 10, Vuelos: 82
Nacionalidad: Argentina, Año: 2022, Mes: 11, Vuelos: 74
Nacionalidad: Argentina, Año: 2022, Mes: 12, Vuelos: 63
Nacionalidad: Armenia, Año: 2022, Mes: 1, Vuelos: 22
Nacionalidad: Armenia, Año: 2022, Mes: 2, Vuelos: 16
Nacionalidad: Armenia, Año: 2022, Mes: 3, Vuelos: 27
Nacionalidad: Armenia, Año: 2022, Mes: 4, Vuelos: 26
Nacionalidad: Armenia, Año: 2022, Mes: 5, Vuelos: 13
Nacionalidad: Armenia, Año: 2022, Mes: 6, Vuelos: 21
